lambda_hora,servidores,estable,rho_teorico,rho_simulado,Wq_promedio,Lq_promedio,cola_maxima
8.0,2,False,1.0,,,,
10.0,2,False,1.25,,,,
12.0,2,False,1.5,,,,
8.0,3,True,0.6666666666666666,0.8248288311010556,8.192520833986585,1.280401720729182,5.0
10.0,3,True,0.8333333333333334,0.6564501487187964,10.953329425027048,1.1178302126288202,5.5
12.0,3,False,1.0,,,,
8.0,4,True,0.5,0.3793659380808956,0.0,0.0,0.0
10.0,4,True,0.625,0.6401118716269377,1.1768701020281256,0.298606687950188,2.5
12.0,4,True,0.75,0.6307167215983525,0.8263037624026388,0.14946713504691525,2.0
8.0,5,True,0.4,0.2569750033268374,0.0,0.0,0.0
10.0,5,True,0.5,0.45074642074993565,0.6118228430106225,0.08899241352881782,1.0
12.0,5,True,0.6,0.46837036264383114,0.0,0.0,0.0
8.0,6,True,0.3333333333333333,0.3463192992125339,0.0,0.0,0.0
10.0,6,True,0.4166666666666667,0.44961927294043547,0.0,0.0,0.0
12.0,6,True,0.5,0.504567945617116,0.20733120008456446,0.03958141092523503,0.5
8.0,7,True,0.2857142857142857,0.3561632671995083,0.0,0.0,0.0
10.0,7,True,0.35714285714285715,0.44870926372488046,0.007828588326987074,0.001708055634978998,0.5
12.0,7,True,0.42857142857142855,0.3557282584427542,0.0,0.0,0.0
